temperature,model,decoder,parameter,wcs,covered_words,total_words,audit_path
0.7,google/gemma-3-27b-pt,top_k,1.0,0.032,32,1000,/tf/WCS/results/gemma3_27b_unquantized/t0p7/audit.gemma3-27b-base.jsonl
0.7,google/gemma-3-27b-pt,top_k,2.0,0.054,54,1000,/tf/WCS/results/gemma3_27b_unquantized/t0p7/audit.gemma3-27b-base.jsonl
0.7,google/gemma-3-27b-pt,top_k,3.0,0.079,79,1000,/tf/WCS/results/gemma3_27b_unquantized/t0p7/audit.gemma3-27b-base.jsonl
0.7,google/gemma-3-27b-pt,top_k,4.0,0.097,97,1000,/tf/WCS/results/gemma3_27b_unquantized/t0p7/audit.gemma3-27b-base.jsonl
0.7,google/gemma-3-27b-pt,top_k,5.0,0.114,114,1000,/tf/WCS/results/gemma3_27b_unquantized/t0p7/audit.gemma3-27b-base.jsonl
0.7,google/gemma-3-27b-pt,top_k,6.0,0.126,126,1000,/tf/WCS/results/gemma3_27b_unquantized/t0p7/audit.gemma3-27b-base.jsonl
0.7,google/gemma-3-27b-pt,top_k,7.0,0.135,135,1000,/tf/WCS/results/gemma3_27b_unquantized/t0p7/audit.gemma3-27b-base.jsonl
0.7,google/gemma-3-27b-pt,top_k,8.0,0.148,148,1000,/tf/WCS/results/gemma3_27b_unquantized/t0p7/audit.gemma3-27b-base.jsonl
0.7,google/gemma-3-27b-pt,top_k,9.0,0.167,167,1000,/tf/WCS/results/gemma3_27b_unquantized/t0p7/audit.gemma3-27b-base.jsonl
0.7,google/gemma-3-27b-pt,top_k,10.0,0.177,177,1000,/tf/WCS/results/gemma3_27b_unquantized/t0p7/audit.gemma3-27b-base.jsonl
0.7,google/gemma-3-27b-pt,top_k,11.0,0.188,188,1000,/tf/WCS/results/gemma3_27b_unquantized/t0p7/audit.gemma3-27b-base.jsonl
0.7,google/gemma-3-27b-pt,top_k,12.0,0.194,194,1000,/tf/WCS/results/gemma3_27b_unquantized/t0p7/audit.gemma3-27b-base.jsonl
0.7,google/gemma-3-27b-pt,top_k,13.0,0.202,202,1000,/tf/WCS/results/gemma3_27b_unquantized/t0p7/audit.gemma3-27b-base.jsonl
0.7,google/gemma-3-27b-pt,top_k,14.0,0.207,207,1000,/tf/WCS/results/gemma3_27b_unquantized/t0p7/audit.gemma3-27b-base.jsonl
0.7,google/gemma-3-27b-pt,top_k,15.0,0.217,217,1000,/tf/WCS/results/gemma3_27b_unquantized/t0p7/audit.gemma3-27b-base.jsonl
0.7,google/gemma-3-27b-pt,top_k,16.0,0.223,223,1000,/tf/WCS/results/gemma3_27b_unquantized/t0p7/audit.gemma3-27b-base.jsonl
0.7,google/gemma-3-27b-pt,top_k,17.0,0.233,233,1000,/tf/WCS/results/gemma3_27b_unquantized/t0p7/audit.gemma3-27b-base.jsonl
0.7,google/gemma-3-27b-pt,top_k,18.0,0.241,241,1000,/tf/WCS/results/gemma3_27b_unquantized/t0p7/audit.gemma3-27b-base.jsonl
0.7,google/gemma-3-27b-pt,top_k,19.0,0.243,243,1000,/tf/WCS/results/gemma3_27b_unquantized/t0p7/audit.gemma3-27b-base.jsonl
0.7,google/gemma-3-27b-pt,top_k,20.0,0.249,249,1000,/tf/WCS/results/gemma3_27b_unquantized/t0p7/audit.gemma3-27b-base.jsonl
0.7,google/gemma-3-27b-pt,top_p,0.5,0.009,9,1000,/tf/WCS/results/gemma3_27b_unquantized/t0p7/audit.gemma3-27b-base.jsonl
0.7,google/gemma-3-27b-pt,top_p,0.55,0.017,17,1000,/tf/WCS/results/gemma3_27b_unquantized/t0p7/audit.gemma3-27b-base.jsonl
0.7,google/gemma-3-27b-pt,top_p,0.6,0.02,20,1000,/tf/WCS/results/gemma3_27b_unquantized/t0p7/audit.gemma3-27b-base.jsonl
0.7,google/gemma-3-27b-pt,top_p,0.65,0.029,29,1000,/tf/WCS/results/gemma3_27b_unquantized/t0p7/audit.gemma3-27b-base.jsonl
0.7,google/gemma-3-27b-pt,top_p,0.7,0.034,34,1000,/tf/WCS/results/gemma3_27b_unquantized/t0p7/audit.gemma3-27b-base.jsonl
0.7,google/gemma-3-27b-pt,top_p,0.75,0.045,45,1000,/tf/WCS/results/gemma3_27b_unquantized/t0p7/audit.gemma3-27b-base.jsonl
