model_slug,metric,maximum,sample_id,temperature,decoder,parameter,text_preview
deepseek-qwen14b-distill,ttr,0.83,sample-003778,1.0,top_k,10.0,alright let me see what the user is asking for here they provided a passage about troubleshooting a音响系统 issue and asked to continue it naturally for at least words they emphasized preserving the language topic style and coherence outputting only the continuation okay first i need to understand the o
deepseek-qwen14b-distill,mtld,164.70588235294116,sample-003778,1.0,top_k,10.0,alright let me see what the user is asking for here they provided a passage about troubleshooting a音响系统 issue and asked to continue it naturally for at least words they emphasized preserving the language topic style and coherence outputting only the continuation okay first i need to understand the o
gemma3-12b-base,ttr,0.84,sample-005141,1.0,top_p,0.9,play for barcelona he did manage their b team which does mean it still counts as a return to the club in some sense real madrid have also seen that happen with current head coach carlo ancelotti a fan favourite and former madridista but also their former boss zinedine zidane who returned after hangi
gemma3-12b-base,mtld,174.99999999999997,sample-005141,1.0,top_p,0.9,play for barcelona he did manage their b team which does mean it still counts as a return to the club in some sense real madrid have also seen that happen with current head coach carlo ancelotti a fan favourite and former madridista but also their former boss zinedine zidane who returned after hangi
gemma3-12b-it,ttr,0.92,sample-005968,0.7,top_k,20.0,hyperdrive and it’s not just about contactless payments consider the sudden massive shift to remote work companies that were cautiously exploring virtual collaboration tools are now fully reliant on them integrating video conferencing cloud-based document sharing and project management software into
gemma3-12b-it,mtld,350.0000000000002,sample-005968,0.7,top_k,20.0,hyperdrive and it’s not just about contactless payments consider the sudden massive shift to remote work companies that were cautiously exploring virtual collaboration tools are now fully reliant on them integrating video conferencing cloud-based document sharing and project management software into
gemma4-e4b-base,ttr,0.84,sample-002070,1.0,top_k,80.0,more strength as the play deepens his partnering with rogers is very physical and passionate but also gentle showing the boys bond is both protective and non-violent if tharp hadn’t previously shown the company just how hard ballet must work to master the performance shows them performing at their u
gemma4-e4b-base,mtld,174.99999999999997,sample-002070,1.0,top_k,80.0,more strength as the play deepens his partnering with rogers is very physical and passionate but also gentle showing the boys bond is both protective and non-violent if tharp hadn’t previously shown the company just how hard ballet must work to master the performance shows them performing at their u
gemma4-e4b-it,ttr,0.92,sample-005968,1.0,top_p,0.8,hyperdrive if you will what was a gradual evolution is suddenly an urgent necessary sprint this acceleration isn't just cosmetic it's deeply structural businesses that hesitated to modernize their backend systems those slow-moving behemoths of legacy infrastructure are now under immense pressure to 
gemma4-e4b-it,mtld,350.0000000000002,sample-005968,1.0,top_p,0.8,hyperdrive if you will what was a gradual evolution is suddenly an urgent necessary sprint this acceleration isn't just cosmetic it's deeply structural businesses that hesitated to modernize their backend systems those slow-moving behemoths of legacy infrastructure are now under immense pressure to 
