temperature,model,decoder,parameter,wcs,covered_words,total_words,audit_path
1.0,Qwen/Qwen2.5-14B,top_k,1.0,0.125,125,1000,results/english_pg19_predictions/audit.qwen25-14b-base.jsonl
1.0,Qwen/Qwen2.5-14B,top_k,2.0,0.202,202,1000,results/english_pg19_predictions/audit.qwen25-14b-base.jsonl
1.0,Qwen/Qwen2.5-14B,top_k,3.0,0.245,245,1000,results/english_pg19_predictions/audit.qwen25-14b-base.jsonl
1.0,Qwen/Qwen2.5-14B,top_k,4.0,0.283,283,1000,results/english_pg19_predictions/audit.qwen25-14b-base.jsonl
1.0,Qwen/Qwen2.5-14B,top_k,5.0,0.307,307,1000,results/english_pg19_predictions/audit.qwen25-14b-base.jsonl
1.0,Qwen/Qwen2.5-14B,top_k,6.0,0.329,329,1000,results/english_pg19_predictions/audit.qwen25-14b-base.jsonl
1.0,Qwen/Qwen2.5-14B,top_k,7.0,0.351,351,1000,results/english_pg19_predictions/audit.qwen25-14b-base.jsonl
1.0,Qwen/Qwen2.5-14B,top_k,8.0,0.366,366,1000,results/english_pg19_predictions/audit.qwen25-14b-base.jsonl
1.0,Qwen/Qwen2.5-14B,top_k,9.0,0.38,380,1000,results/english_pg19_predictions/audit.qwen25-14b-base.jsonl
1.0,Qwen/Qwen2.5-14B,top_k,10.0,0.4,400,1000,results/english_pg19_predictions/audit.qwen25-14b-base.jsonl
1.0,Qwen/Qwen2.5-14B,top_k,11.0,0.41,410,1000,results/english_pg19_predictions/audit.qwen25-14b-base.jsonl
1.0,Qwen/Qwen2.5-14B,top_k,12.0,0.416,416,1000,results/english_pg19_predictions/audit.qwen25-14b-base.jsonl
1.0,Qwen/Qwen2.5-14B,top_k,13.0,0.43,430,1000,results/english_pg19_predictions/audit.qwen25-14b-base.jsonl
1.0,Qwen/Qwen2.5-14B,top_k,14.0,0.448,448,1000,results/english_pg19_predictions/audit.qwen25-14b-base.jsonl
1.0,Qwen/Qwen2.5-14B,top_k,15.0,0.455,455,1000,results/english_pg19_predictions/audit.qwen25-14b-base.jsonl
1.0,Qwen/Qwen2.5-14B,top_k,16.0,0.462,462,1000,results/english_pg19_predictions/audit.qwen25-14b-base.jsonl
1.0,Qwen/Qwen2.5-14B,top_k,17.0,0.468,468,1000,results/english_pg19_predictions/audit.qwen25-14b-base.jsonl
1.0,Qwen/Qwen2.5-14B,top_k,18.0,0.479,479,1000,results/english_pg19_predictions/audit.qwen25-14b-base.jsonl
1.0,Qwen/Qwen2.5-14B,top_k,19.0,0.483,483,1000,results/english_pg19_predictions/audit.qwen25-14b-base.jsonl
1.0,Qwen/Qwen2.5-14B,top_k,20.0,0.491,491,1000,results/english_pg19_predictions/audit.qwen25-14b-base.jsonl
1.0,Qwen/Qwen2.5-14B,top_k,21.0,0.497,497,1000,results/english_pg19_predictions/audit.qwen25-14b-base.jsonl
1.0,Qwen/Qwen2.5-14B,top_k,22.0,0.501,501,1000,results/english_pg19_predictions/audit.qwen25-14b-base.jsonl
