temperature,model,decoder,parameter,word_any_wcs,word_all_wcs,covered_words_any,covered_words_all,total_words,covered_contexts,total_contexts,audit_path
0.6,Qwen/Qwen2.5-14B,top_k,1.0,0.99,0.0,198,0,200,2689,10000,results/fineweb_200x50/wcs/t0p6/audit.qwen25-14b-base.jsonl
0.6,Qwen/Qwen2.5-14B,top_k,2.0,0.99,0.0,198,0,200,3622,10000,results/fineweb_200x50/wcs/t0p6/audit.qwen25-14b-base.jsonl
0.6,Qwen/Qwen2.5-14B,top_k,3.0,0.995,0.0,199,0,200,4166,10000,results/fineweb_200x50/wcs/t0p6/audit.qwen25-14b-base.jsonl
0.6,Qwen/Qwen2.5-14B,top_k,4.0,1.0,0.0,200,0,200,4525,10000,results/fineweb_200x50/wcs/t0p6/audit.qwen25-14b-base.jsonl
0.6,Qwen/Qwen2.5-14B,top_k,5.0,1.0,0.0,200,0,200,4795,10000,results/fineweb_200x50/wcs/t0p6/audit.qwen25-14b-base.jsonl
0.6,Qwen/Qwen2.5-14B,top_k,6.0,1.0,0.0,200,0,200,5002,10000,results/fineweb_200x50/wcs/t0p6/audit.qwen25-14b-base.jsonl
0.6,Qwen/Qwen2.5-14B,top_k,7.0,1.0,0.0,200,0,200,5214,10000,results/fineweb_200x50/wcs/t0p6/audit.qwen25-14b-base.jsonl
0.6,Qwen/Qwen2.5-14B,top_k,8.0,1.0,0.0,200,0,200,5376,10000,results/fineweb_200x50/wcs/t0p6/audit.qwen25-14b-base.jsonl
0.6,Qwen/Qwen2.5-14B,top_k,9.0,1.0,0.0,200,0,200,5520,10000,results/fineweb_200x50/wcs/t0p6/audit.qwen25-14b-base.jsonl
0.6,Qwen/Qwen2.5-14B,top_k,10.0,1.0,0.0,200,0,200,5658,10000,results/fineweb_200x50/wcs/t0p6/audit.qwen25-14b-base.jsonl
0.6,Qwen/Qwen2.5-14B,top_k,11.0,1.0,0.0,200,0,200,5762,10000,results/fineweb_200x50/wcs/t0p6/audit.qwen25-14b-base.jsonl
0.6,Qwen/Qwen2.5-14B,top_k,12.0,1.0,0.0,200,0,200,5883,10000,results/fineweb_200x50/wcs/t0p6/audit.qwen25-14b-base.jsonl
0.6,Qwen/Qwen2.5-14B,top_k,13.0,1.0,0.0,200,0,200,5982,10000,results/fineweb_200x50/wcs/t0p6/audit.qwen25-14b-base.jsonl
0.6,Qwen/Qwen2.5-14B,top_k,14.0,1.0,0.0,200,0,200,6097,10000,results/fineweb_200x50/wcs/t0p6/audit.qwen25-14b-base.jsonl
0.6,Qwen/Qwen2.5-14B,top_k,15.0,1.0,0.0,200,0,200,6169,10000,results/fineweb_200x50/wcs/t0p6/audit.qwen25-14b-base.jsonl
0.6,Qwen/Qwen2.5-14B,top_k,16.0,1.0,0.0,200,0,200,6232,10000,results/fineweb_200x50/wcs/t0p6/audit.qwen25-14b-base.jsonl
0.6,Qwen/Qwen2.5-14B,top_k,17.0,1.0,0.0,200,0,200,6293,10000,results/fineweb_200x50/wcs/t0p6/audit.qwen25-14b-base.jsonl
0.6,Qwen/Qwen2.5-14B,top_k,18.0,1.0,0.0,200,0,200,6352,10000,results/fineweb_200x50/wcs/t0p6/audit.qwen25-14b-base.jsonl
0.6,Qwen/Qwen2.5-14B,top_k,19.0,1.0,0.0,200,0,200,6414,10000,results/fineweb_200x50/wcs/t0p6/audit.qwen25-14b-base.jsonl
0.6,Qwen/Qwen2.5-14B,top_k,20.0,1.0,0.0,200,0,200,6464,10000,results/fineweb_200x50/wcs/t0p6/audit.qwen25-14b-base.jsonl
0.6,Qwen/Qwen2.5-14B,top_k,25.0,1.0,0.0,200,0,200,6713,10000,results/fineweb_200x50/wcs/t0p6/audit.qwen25-14b-base.jsonl
0.6,Qwen/Qwen2.5-14B,top_k,30.0,1.0,0.0,200,0,200,6902,10000,results/fineweb_200x50/wcs/t0p6/audit.qwen25-14b-base.jsonl
0.6,Qwen/Qwen2.5-14B,top_k,35.0,1.0,0.0,200,0,200,7083,10000,results/fineweb_200x50/wcs/t0p6/audit.qwen25-14b-base.jsonl
0.6,Qwen/Qwen2.5-14B,top_k,40.0,1.0,0.0,200,0,200,7218,10000,results/fineweb_200x50/wcs/t0p6/audit.qwen25-14b-base.jsonl
0.6,Qwen/Qwen2.5-14B,top_k,45.0,1.0,0.005,200,1,200,7316,10000,results/fineweb_200x50/wcs/t0p6/audit.qwen25-14b-base.jsonl
0.6,Qwen/Qwen2.5-14B,top_k,50.0,1.0,0.005,200,1,200,7422,10000,results/fineweb_200x50/wcs/t0p6/audit.qwen25-14b-base.jsonl
0.6,Qwen/Qwen2.5-14B,top_k,55.0,1.0,0.005,200,1,200,7521,10000,results/fineweb_200x50/wcs/t0p6/audit.qwen25-14b-base.jsonl
0.6,Qwen/Qwen2.5-14B,top_k,60.0,1.0,0.005,200,1,200,7594,10000,results/fineweb_200x50/wcs/t0p6/audit.qwen25-14b-base.jsonl
0.6,Qwen/Qwen2.5-14B,top_k,65.0,1.0,0.005,200,1,200,7664,10000,results/fineweb_200x50/wcs/t0p6/audit.qwen25-14b-base.jsonl
0.6,Qwen/Qwen2.5-14B,top_k,70.0,1.0,0.01,200,2,200,7758,10000,results/fineweb_200x50/wcs/t0p6/audit.qwen25-14b-base.jsonl
0.6,Qwen/Qwen2.5-14B,top_k,75.0,1.0,0.01,200,2,200,7823,10000,results/fineweb_200x50/wcs/t0p6/audit.qwen25-14b-base.jsonl
0.6,Qwen/Qwen2.5-14B,top_k,80.0,1.0,0.01,200,2,200,7873,10000,results/fineweb_200x50/wcs/t0p6/audit.qwen25-14b-base.jsonl
0.6,Qwen/Qwen2.5-14B,top_p,0.5,0.99,0.0,198,0,200,3010,10000,results/fineweb_200x50/wcs/t0p6/audit.qwen25-14b-base.jsonl
0.6,Qwen/Qwen2.5-14B,top_p,0.55,0.995,0.0,199,0,200,3105,10000,results/fineweb_200x50/wcs/t0p6/audit.qwen25-14b-base.jsonl
0.6,Qwen/Qwen2.5-14B,top_p,0.6,0.995,0.0,199,0,200,3233,10000,results/fineweb_200x50/wcs/t0p6/audit.qwen25-14b-base.jsonl
0.6,Qwen/Qwen2.5-14B,top_p,0.65,0.995,0.0,199,0,200,3384,10000,results/fineweb_200x50/wcs/t0p6/audit.qwen25-14b-base.jsonl
0.6,Qwen/Qwen2.5-14B,top_p,0.7,0.995,0.0,199,0,200,3571,10000,results/fineweb_200x50/wcs/t0p6/audit.qwen25-14b-base.jsonl
0.6,Qwen/Qwen2.5-14B,top_p,0.75,0.995,0.0,199,0,200,3758,10000,results/fineweb_200x50/wcs/t0p6/audit.qwen25-14b-base.jsonl
0.6,Qwen/Qwen2.5-14B,top_p,0.8,1.0,0.0,200,0,200,3965,10000,results/fineweb_200x50/wcs/t0p6/audit.qwen25-14b-base.jsonl
0.6,Qwen/Qwen2.5-14B,top_p,0.85,1.0,0.0,200,0,200,4270,10000,results/fineweb_200x50/wcs/t0p6/audit.qwen25-14b-base.jsonl
0.6,Qwen/Qwen2.5-14B,top_p,0.9,1.0,0.0,200,0,200,4683,10000,results/fineweb_200x50/wcs/t0p6/audit.qwen25-14b-base.jsonl
0.6,Qwen/Qwen2.5-14B,top_p,0.95,1.0,0.0,200,0,200,5322,10000,results/fineweb_200x50/wcs/t0p6/audit.qwen25-14b-base.jsonl
0.6,Qwen/Qwen2.5-14B,top_p,0.99,1.0,0.0,200,0,200,6642,10000,results/fineweb_200x50/wcs/t0p6/audit.qwen25-14b-base.jsonl
0.6,Qwen/Qwen2.5-14B,min_p,0.01,1.0,0.0,200,0,200,5508,10000,results/fineweb_200x50/wcs/t0p6/audit.qwen25-14b-base.jsonl
0.6,Qwen/Qwen2.5-14B,min_p,0.02,1.0,0.0,200,0,200,5040,10000,results/fineweb_200x50/wcs/t0p6/audit.qwen25-14b-base.jsonl
0.6,Qwen/Qwen2.5-14B,min_p,0.03,1.0,0.0,200,0,200,4763,10000,results/fineweb_200x50/wcs/t0p6/audit.qwen25-14b-base.jsonl
0.6,Qwen/Qwen2.5-14B,min_p,0.04,1.0,0.0,200,0,200,4613,10000,results/fineweb_200x50/wcs/t0p6/audit.qwen25-14b-base.jsonl
