temperature,model,decoder,parameter,word_any_wcs,word_all_wcs,covered_words_any,covered_words_all,total_words,covered_contexts,total_contexts,audit_path
0.7,Qwen/Qwen2.5-14B,top_k,1.0,0.54,0.0,54,0,100,105,1000,/home/jovyan/WCS-repo/results/spanish_pd_books/t0p7/audit.qwen25-14b-base.jsonl
0.7,Qwen/Qwen2.5-14B,top_k,2.0,0.63,0.0,63,0,100,161,1000,/home/jovyan/WCS-repo/results/spanish_pd_books/t0p7/audit.qwen25-14b-base.jsonl
0.7,Qwen/Qwen2.5-14B,top_k,3.0,0.66,0.0,66,0,100,195,1000,/home/jovyan/WCS-repo/results/spanish_pd_books/t0p7/audit.qwen25-14b-base.jsonl
0.7,Qwen/Qwen2.5-14B,top_k,4.0,0.73,0.0,73,0,100,221,1000,/home/jovyan/WCS-repo/results/spanish_pd_books/t0p7/audit.qwen25-14b-base.jsonl
0.7,Qwen/Qwen2.5-14B,top_k,5.0,0.78,0.0,78,0,100,244,1000,/home/jovyan/WCS-repo/results/spanish_pd_books/t0p7/audit.qwen25-14b-base.jsonl
0.7,Qwen/Qwen2.5-14B,top_k,6.0,0.84,0.0,84,0,100,272,1000,/home/jovyan/WCS-repo/results/spanish_pd_books/t0p7/audit.qwen25-14b-base.jsonl
0.7,Qwen/Qwen2.5-14B,top_k,7.0,0.87,0.0,87,0,100,291,1000,/home/jovyan/WCS-repo/results/spanish_pd_books/t0p7/audit.qwen25-14b-base.jsonl
0.7,Qwen/Qwen2.5-14B,top_k,8.0,0.88,0.0,88,0,100,308,1000,/home/jovyan/WCS-repo/results/spanish_pd_books/t0p7/audit.qwen25-14b-base.jsonl
0.7,Qwen/Qwen2.5-14B,top_k,9.0,0.9,0.0,90,0,100,320,1000,/home/jovyan/WCS-repo/results/spanish_pd_books/t0p7/audit.qwen25-14b-base.jsonl
0.7,Qwen/Qwen2.5-14B,top_k,10.0,0.92,0.0,92,0,100,333,1000,/home/jovyan/WCS-repo/results/spanish_pd_books/t0p7/audit.qwen25-14b-base.jsonl
0.7,Qwen/Qwen2.5-14B,top_k,11.0,0.93,0.0,93,0,100,345,1000,/home/jovyan/WCS-repo/results/spanish_pd_books/t0p7/audit.qwen25-14b-base.jsonl
0.7,Qwen/Qwen2.5-14B,top_k,12.0,0.93,0.0,93,0,100,357,1000,/home/jovyan/WCS-repo/results/spanish_pd_books/t0p7/audit.qwen25-14b-base.jsonl
0.7,Qwen/Qwen2.5-14B,top_k,13.0,0.93,0.0,93,0,100,367,1000,/home/jovyan/WCS-repo/results/spanish_pd_books/t0p7/audit.qwen25-14b-base.jsonl
0.7,Qwen/Qwen2.5-14B,top_k,14.0,0.93,0.0,93,0,100,375,1000,/home/jovyan/WCS-repo/results/spanish_pd_books/t0p7/audit.qwen25-14b-base.jsonl
0.7,Qwen/Qwen2.5-14B,top_k,15.0,0.93,0.0,93,0,100,386,1000,/home/jovyan/WCS-repo/results/spanish_pd_books/t0p7/audit.qwen25-14b-base.jsonl
0.7,Qwen/Qwen2.5-14B,top_k,16.0,0.94,0.0,94,0,100,399,1000,/home/jovyan/WCS-repo/results/spanish_pd_books/t0p7/audit.qwen25-14b-base.jsonl
0.7,Qwen/Qwen2.5-14B,top_k,17.0,0.94,0.0,94,0,100,406,1000,/home/jovyan/WCS-repo/results/spanish_pd_books/t0p7/audit.qwen25-14b-base.jsonl
0.7,Qwen/Qwen2.5-14B,top_k,18.0,0.94,0.0,94,0,100,418,1000,/home/jovyan/WCS-repo/results/spanish_pd_books/t0p7/audit.qwen25-14b-base.jsonl
0.7,Qwen/Qwen2.5-14B,top_k,19.0,0.94,0.0,94,0,100,428,1000,/home/jovyan/WCS-repo/results/spanish_pd_books/t0p7/audit.qwen25-14b-base.jsonl
0.7,Qwen/Qwen2.5-14B,top_k,20.0,0.94,0.0,94,0,100,435,1000,/home/jovyan/WCS-repo/results/spanish_pd_books/t0p7/audit.qwen25-14b-base.jsonl
0.7,Qwen/Qwen2.5-14B,top_p,0.5,0.01,0.0,1,0,100,1,1000,/home/jovyan/WCS-repo/results/spanish_pd_books/t0p7/audit.qwen25-14b-base.jsonl
0.7,Qwen/Qwen2.5-14B,top_p,0.55,0.01,0.0,1,0,100,1,1000,/home/jovyan/WCS-repo/results/spanish_pd_books/t0p7/audit.qwen25-14b-base.jsonl
0.7,Qwen/Qwen2.5-14B,top_p,0.6,0.01,0.0,1,0,100,1,1000,/home/jovyan/WCS-repo/results/spanish_pd_books/t0p7/audit.qwen25-14b-base.jsonl
0.7,Qwen/Qwen2.5-14B,top_p,0.65,0.01,0.0,1,0,100,1,1000,/home/jovyan/WCS-repo/results/spanish_pd_books/t0p7/audit.qwen25-14b-base.jsonl
0.7,Qwen/Qwen2.5-14B,top_p,0.7,0.01,0.0,1,0,100,1,1000,/home/jovyan/WCS-repo/results/spanish_pd_books/t0p7/audit.qwen25-14b-base.jsonl
0.7,Qwen/Qwen2.5-14B,top_p,0.75,0.04,0.0,4,0,100,4,1000,/home/jovyan/WCS-repo/results/spanish_pd_books/t0p7/audit.qwen25-14b-base.jsonl
0.7,Qwen/Qwen2.5-14B,top_p,0.8,0.1,0.0,10,0,100,11,1000,/home/jovyan/WCS-repo/results/spanish_pd_books/t0p7/audit.qwen25-14b-base.jsonl
0.7,Qwen/Qwen2.5-14B,top_p,0.85,0.12,0.0,12,0,100,16,1000,/home/jovyan/WCS-repo/results/spanish_pd_books/t0p7/audit.qwen25-14b-base.jsonl
0.7,Qwen/Qwen2.5-14B,top_p,0.9,0.18,0.0,18,0,100,30,1000,/home/jovyan/WCS-repo/results/spanish_pd_books/t0p7/audit.qwen25-14b-base.jsonl
0.7,Qwen/Qwen2.5-14B,top_p,0.95,0.32,0.0,32,0,100,64,1000,/home/jovyan/WCS-repo/results/spanish_pd_books/t0p7/audit.qwen25-14b-base.jsonl
0.7,Qwen/Qwen2.5-14B,top_p,0.99,0.71,0.0,71,0,100,227,1000,/home/jovyan/WCS-repo/results/spanish_pd_books/t0p7/audit.qwen25-14b-base.jsonl
0.7,Qwen/Qwen2.5-14B,min_p,0.01,0.95,0.0,95,0,100,405,1000,/home/jovyan/WCS-repo/results/spanish_pd_books/t0p7/audit.qwen25-14b-base.jsonl
0.7,Qwen/Qwen2.5-14B,min_p,0.02,0.92,0.0,92,0,100,346,1000,/home/jovyan/WCS-repo/results/spanish_pd_books/t0p7/audit.qwen25-14b-base.jsonl
0.7,Qwen/Qwen2.5-14B,min_p,0.03,0.91,0.0,91,0,100,314,1000,/home/jovyan/WCS-repo/results/spanish_pd_books/t0p7/audit.qwen25-14b-base.jsonl
0.7,Qwen/Qwen2.5-14B,min_p,0.04,0.89,0.0,89,0,100,294,1000,/home/jovyan/WCS-repo/results/spanish_pd_books/t0p7/audit.qwen25-14b-base.jsonl
0.7,Qwen/Qwen2.5-14B,min_p,0.05,0.84,0.0,84,0,100,267,1000,/home/jovyan/WCS-repo/results/spanish_pd_books/t0p7/audit.qwen25-14b-base.jsonl
0.7,Qwen/Qwen2.5-14B,min_p,0.06,0.83,0.0,83,0,100,253,1000,/home/jovyan/WCS-repo/results/spanish_pd_books/t0p7/audit.qwen25-14b-base.jsonl
0.7,Qwen/Qwen2.5-14B,min_p,0.07,0.82,0.0,82,0,100,236,1000,/home/jovyan/WCS-repo/results/spanish_pd_books/t0p7/audit.qwen25-14b-base.jsonl
0.7,Qwen/Qwen2.5-14B,min_p,0.08,0.82,0.0,82,0,100,233,1000,/home/jovyan/WCS-repo/results/spanish_pd_books/t0p7/audit.qwen25-14b-base.jsonl
0.7,Qwen/Qwen2.5-14B,min_p,0.09,0.78,0.0,78,0,100,219,1000,/home/jovyan/WCS-repo/results/spanish_pd_books/t0p7/audit.qwen25-14b-base.jsonl
0.7,Qwen/Qwen2.5-14B,min_p,0.1,0.76,0.0,76,0,100,211,1000,/home/jovyan/WCS-repo/results/spanish_pd_books/t0p7/audit.qwen25-14b-base.jsonl
1.0,Qwen/Qwen2.5-14B,top_k,1.0,0.54,0.0,54,0,100,105,1000,/home/jovyan/WCS-repo/results/spanish_pd_books/t1/audit.qwen25-14b-base.jsonl
1.0,Qwen/Qwen2.5-14B,top_k,2.0,0.63,0.0,63,0,100,161,1000,/home/jovyan/WCS-repo/results/spanish_pd_books/t1/audit.qwen25-14b-base.jsonl
1.0,Qwen/Qwen2.5-14B,top_k,3.0,0.66,0.0,66,0,100,195,1000,/home/jovyan/WCS-repo/results/spanish_pd_books/t1/audit.qwen25-14b-base.jsonl
