model,temperature,decoder,metric,configurations,pearson_r,spearman_rho,interpretation
Qwen/Qwen2.5-14B,0.7,min_p,mean_ttr,3,0.9843832092348412,1.0,descriptive_only_n3_or_n4
Qwen/Qwen2.5-14B,0.7,min_p,mean_mtld,3,0.9997605588859548,1.0,descriptive_only_n3_or_n4
Qwen/Qwen2.5-14B,0.7,top_k,mean_ttr,4,0.919084172038556,0.8,descriptive_only_n3_or_n4
Qwen/Qwen2.5-14B,0.7,top_k,mean_mtld,4,0.7582003533803248,0.4,descriptive_only_n3_or_n4
Qwen/Qwen2.5-14B,0.7,top_p,mean_ttr,4,0.937013426215359,1.0,descriptive_only_n3_or_n4
Qwen/Qwen2.5-14B,0.7,top_p,mean_mtld,4,0.9809386505094763,1.0,descriptive_only_n3_or_n4
Qwen/Qwen2.5-14B,1.0,min_p,mean_ttr,3,0.9751444355598167,1.0,descriptive_only_n3_or_n4
Qwen/Qwen2.5-14B,1.0,min_p,mean_mtld,3,0.9999395319180319,1.0,descriptive_only_n3_or_n4
Qwen/Qwen2.5-14B,1.0,top_k,mean_ttr,4,0.983669723251857,1.0,descriptive_only_n3_or_n4
Qwen/Qwen2.5-14B,1.0,top_k,mean_mtld,4,0.9397622110554431,0.8,descriptive_only_n3_or_n4
Qwen/Qwen2.5-14B,1.0,top_p,mean_ttr,4,0.9640794243838662,1.0,descriptive_only_n3_or_n4
Qwen/Qwen2.5-14B,1.0,top_p,mean_mtld,4,0.8939895964949067,1.0,descriptive_only_n3_or_n4
Qwen/Qwen2.5-14B-Instruct,0.7,min_p,mean_ttr,3,0.5960395606792608,0.5,descriptive_only_n3_or_n4
Qwen/Qwen2.5-14B-Instruct,0.7,min_p,mean_mtld,3,0.7207443488269581,0.5,descriptive_only_n3_or_n4
Qwen/Qwen2.5-14B-Instruct,0.7,top_k,mean_ttr,4,-0.4166221689943911,0.0,descriptive_only_n3_or_n4
Qwen/Qwen2.5-14B-Instruct,0.7,top_k,mean_mtld,4,-0.16000247852682703,-0.4,descriptive_only_n3_or_n4
Qwen/Qwen2.5-14B-Instruct,0.7,top_p,mean_ttr,4,0.5692226358035265,0.8,descriptive_only_n3_or_n4
Qwen/Qwen2.5-14B-Instruct,0.7,top_p,mean_mtld,4,0.6785044691771795,0.8,descriptive_only_n3_or_n4
Qwen/Qwen2.5-14B-Instruct,1.0,min_p,mean_ttr,3,0.9593644138891957,1.0,descriptive_only_n3_or_n4
